n,time_us
500,23.37
600,27.61
700,32.73
800,35.72
900,43.67
1000,46.22
1100,51.52
1200,57.60
1300,57.96
1400,66.45
1500,69.63
1600,78.26
1700,78.88
1800,88.48
1900,85.81
2000,90.37
2100,95.16
2200,111.94
2300,117.62
2400,117.11
2500,115.74
2600,121.79
2700,135.31
2800,204.71
2900,170.77
3000,144.19
3100,143.59
3200,156.92
3300,155.06
3400,162.75
3500,166.60
3600,168.54
3700,175.47
3800,176.76
3900,191.33
4000,188.36
4100,192.61
4200,206.14
4300,256.59
4400,310.71
4500,293.87
4600,298.74
4700,242.03
4800,315.10
4900,248.12
5000,346.35
5100,251.22
5200,250.09
5300,257.44
5400,271.34
5500,268.80
5600,322.23
5700,278.88
5800,309.39
5900,286.66
6000,291.25
6100,295.25
6200,304.36
6300,307.18
6400,313.44
6500,354.79
6600,328.02
6700,331.49
6800,343.24
6900,337.96
7000,346.63
7100,348.65
7200,362.46
7300,403.87
7400,377.78
7500,404.51
7600,374.05
7700,440.34
7800,385.09
7900,401.83
8000,393.65
8100,406.87
8200,402.10
8300,412.20
8400,430.17
8500,417.86
8600,425.83
8700,449.61
8800,441.15
8900,458.38
9000,449.44
9100,465.64
9200,488.03
9300,469.33
9400,494.45
9500,478.46
9600,494.25
9700,482.91
9800,493.47
9900,500.38
10000,530.01
